id,question,expected,gemini_answer,bert_P,bert_R,bert_F1
Q47,How do I prove green travel?,"The student must provide appropriate documents such as tickets showing the travel date and route, receipts, and a declaration of honor. The travel dates must match the mobility dates confirmed in the certificate of duration.","To prove green travel for your Erasmus+ exchange, you need to provide evidence that you used a sustainable mode of transport (bus, train, or carpooling) for the main part of your journey to and from your host country.

According to the University of Ljubljana's guidelines, you can prove this in one of two ways:

1.  **Travel Tickets:** Submit copies of your bus or train tickets for both the journey to your host country and the return journey to Slovenia.
2.  **Signed Declaration:** If you travel by car (carpooling), you must submit a signed declaration or statement confirming you used this mode of transport.

This proof is necessary to receive the **one-time top-up of €50** for green travel.

For the specific declaration form or submission details, you should contact the International Office at FRI or the central International Relations Office of the University of Ljubljana.",0.4619,0.5769,0.5131
Q48,Can I get funding for extra travel days if I travel green?,Yes. Students using green travel may request funding for up to 6 additional travel days if needed: up to 3 days for departure and up to 3 days for return.,"Yes, you can.

Under the Erasmus+ programme, students who choose ""green travel"" for their journey to and from the host country are eligible for additional financial support.

This typically includes:
*   **A one-time top-up amount** (usually €50).
*   **Funding for up to 4 extra travel days** to cover the longer journey time.

""Green travel"" is defined as using low-emission transport, such as a **bus, train, or carpooling**, for the main part of your journey. You will be required to keep proof of your travel (e.g., tickets) and sign a declaration.

For the specific procedure and amounts, you should always check the official information provided by the **University of Ljubljana's International Relations Office**, as they manage the Erasmus+ grants for all faculties. You can find details on the university's main website under the Erasmus+ section.",0.4686,0.6301,0.5375
Q49,What is the Erasmus+ Interrail Pass?,It is an Interrail Global Pass intended to encourage green transport for Erasmus+ participants. It is available as 4 or 6 travel days within a 6-month period.,"Hello! As the Erasmus assistant for UL FRI, I can help clarify that.

The ""Erasmus+ Interrail Pass"" is not a free pass provided by the university. Instead, it is a **special discount** on the Interrail Global Pass offered by the company Interrail to students going on an Erasmus+ exchange.

Here is a breakdown of how this works in relation to your exchange at the University of Ljubljana:

1.  **The Discounted Pass:** You can purchase a discounted Interrail Global Pass to travel to your host country and explore Europe during your exchange. This is a commercial offer you must purchase yourself.

2.  **University of Ljubljana's ""Green Travel"" Support:** The University of Ljubljana encourages sustainable travel. If you use a sustainable means of transport (like a train or bus) for the main part of your journey to and from your host institution, you are eligible for a **""green travel top-up""**.
    *   This is a one-time payment of **€50**.
    *   You may also be entitled to up to **4 additional days of individual support** to cover travel days.

In summary, you can buy the discounted Erasmus+ Interrail Pass yourself and then apply for the University of Ljubljana's €50 green travel grant because you are travelling by train.

For official information on the green travel grant, you should consult the main University of Ljubljana's international mobility pages or contact the university's International Relations Office.",0.4291,0.6637,0.5212
Q50,How long must an Erasmus+ exchange last?,"An Erasmus+ exchange must last at least 2 full months, or 60 days.","Based on the information for the University of Ljubljana, an Erasmus+ study exchange has the following duration requirements:

An exchange can last for **one semester** or a **full academic year**.

*   **Minimum duration:** The official minimum period for an Erasmus+ study mobility is **2 months**.
*   **Maximum duration:** The maximum period is **12 months** within a single study cycle (e.g., 12 months during your Bachelor's degree and another 12 during your Master's degree).

In practice, your exchange at UL FRI will align with the semester dates, lasting either for the winter semester (October-January) or the spring semester (February-June), or both.",0.4439,0.6833,0.5382
Q51,What is the maximum length of an Erasmus+ exchange?,"An Erasmus+ exchange may last up to 12 months, although financial support is limited to 5 months for one-semester exchanges and 10 months for two-semester exchanges.","According to the rules of the Erasmus+ programme, which the University of Ljubljana follows, the maximum length of an exchange is **12 months per study cycle**.

This means you can spend a total of up to 12 months on an Erasmus+ exchange (for study or traineeship) during your Bachelor's degree, another 12 months during your Master's degree, and a final 12 months during your Doctoral studies.",0.5861,0.6573,0.6196
Q52,How much financial support can I receive for one semester?,"The maximum Erasmus+ financial support for a one-semester exchange is limited to 5 months, or 150 days.","Of course, I can help with that.

The amount of financial support (the Erasmus+ grant) you can receive depends on the country you are going to for your exchange. The University of Ljubljana divides the countries into groups based on living costs.

For the academic year 2023/2024, the monthly grant amounts are as follows:

*   **Group 1: €520 per month**
    *   Countries: Denmark, Finland, Iceland, Ireland, Liechtenstein, Luxembourg, Norway, Sweden, and partner countries from regions 5 and 14 (Faroe Islands, Switzerland, UK).

*   **Group 2: €520 per month**
    *   Countries: Austria, Belgium, Cyprus, France, Germany, Greece, Italy, Malta, Netherlands, Portugal, Spain.

*   **Group 3: €470 per month**
    *   Countries: Bulgaria, Croatia, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Romania, Slovakia, North Macedonia, Serbia, Turkey.

**To calculate your total for one semester (typically 5 months):**

*   **Group 1 & 2:** €520/month x 5 months = **€2,600**
*   **Group 3:** €470/month x 5 months = **€2,350**

**Additional Support:**

*   **Students with fewer opportunities:** You may be eligible for an additional one-time top-up of €250.
*   **Green travel:** If you use sustainable transport (bus, train) for your main journey, you can receive a one-time top-up of €50.

**Please note:** These amounts are subject to change for future academic years. For the most current information, it is always best to check the official University of Ljubljana's Erasmus+ Study Exchange page.",0.3632,0.6732,0.4718
Q53,How much financial support can I receive for a full-year exchange?,"The maximum Erasmus+ financial support for a two-semester exchange is limited to 10 months, or 300 days.","Of course, I can help with that.

The Erasmus+ financial support is provided as a monthly grant. The total amount you receive for a full-year exchange depends on two main factors:

1.  **The destination country's cost of living.**
2.  **The exact duration of your exchange in months.**

Based on the information from the University of Ljubljana, the monthly grant amounts are divided into three groups for the 2023/2024 academic year:

*   **Group 1: €540 / month**
    *   Countries: Denmark, Finland, Iceland, Ireland, Liechtenstein, Luxembourg, Norway, Sweden.

*   **Group 2: €490 / month**
    *   Countries: Austria, Belgium, Cyprus, France, Germany, Greece, Italy, Malta, Netherlands, Portugal, Spain.

*   **Group 3: €490 / month**
    *   Countries: Bulgaria, Croatia, Czech Republic, Estonia, Hungary, Latvia, Lithuania, North Macedonia, Poland, Romania, Serbia, Slovakia, Turkey.

**To calculate your total for a full year:**

A full academic year is typically 9 to 10 months. You would multiply the monthly rate for your destination country by the number of months of your exchange.

**Example:** For a 10-month exchange in Germany (Group 2), your total grant would be:
€490/month * 10 months = **€4,900**

**Additional Support:**
You may be eligible for a top-up grant of **€250 per month** if you meet the criteria for students with fewer opportunities. There is also a one-time grant of **€50** available for choosing ""green travel"" (e.g., bus or train).

For the most current and detailed information, please always refer to the official University of Ljubljana page on financial support:
[UL Erasmus+ Financial Support](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/study_exchange/financial_support/)",0.351,0.6357,0.4523
Q54,Can I stay abroad longer than the funded period?,"Yes. A student may stay on mobility longer, up to the Erasmus+ maximum period, but without financial support beyond the funding limits.","Yes, it is possible to stay abroad longer than the period for which you receive the Erasmus+ grant. This is known as a **""zero-grant"" period**.

Here is a summary of how it generally works:

*   **What it means:** You can extend your stay at the host university, but you will not receive additional Erasmus+ funding for the extended period. However, you will retain your Erasmus+ student status, which means you are typically exempt from paying tuition fees at the host institution.
*   **Procedure:** To arrange this, you must request an extension of your mobility period. This process requires approval from both your home faculty (UL FRI) and the host institution.
*   **Key Steps:**
    1.  Obtain permission from your host institution to extend your stay.
    2.  Contact the International Office at UL FRI to get approval for the academic part of your extension (i.e., updating your Learning Agreement with new courses).
    3.  Formally apply for the extension at the University of Ljubljana's International Relations Office. They handle the administrative and financial aspects of the Erasmus+ grant. You will need to sign an amendment to your grant agreement.

**Action Required:**

You should contact the **International Relations Office of the University of Ljubljana** for the official procedure and deadlines, and the **International Office at UL FRI** for academic approval of your extended study plan. It is crucial to start this process well in advance of your originally planned departure date.",0.4112,0.678,0.512
Q55,What counts as the first day of Erasmus+ mobility?,"The first day is the first day the student must be present at the host institution, such as the first lecture, welcome event, or language/intercultural course included in the Learning Agreement. It is not necessarily the day of arrival.","Based on the general Erasmus+ Programme rules and information from the University of Ljubljana, the first day of your Erasmus+ mobility is **the first day you need to be present at the university for academic-related reasons**.

This can be one of the following:

*   The official **Welcome Day** or orientation week organised by the university or faculty (FRI).
*   The first day of lectures for the semester.
*   The first day of a pre-semester language course organised by the university.

Travel days do not count. The date you enter on your official ""Confirmation of Arrival"" document must be the date of your first official academic activity, not the day you arrive in Slovenia.",0.5362,0.6984,0.6066
Q56,What counts as the last day of Erasmus+ mobility?,"The last day is the final day the student must be present at the host institution, such as the last lecture or exam. It is not necessarily the day of departure.","Based on the general Erasmus+ program rules, which the University of Ljubljana follows, the last day of your mobility is defined as follows:

The last day of your Erasmus+ mobility is the **last day of your academic obligations** at the host institution.

This is typically the date of your:
*   Last exam
*   Final project submission
*   Last mandatory class or seminar

This date is officially documented on your **Certificate of Attendance** (or Confirmation of Stay), which you must get signed by the host institution before you leave. The end date on this certificate is what the University of Ljubljana will use to calculate the final duration of your mobility and your grant.

**Important:** The last day is **not** the day you move out of your accommodation or the day of your flight home. It must be related to your study activities.",0.495,0.6966,0.5788
Q57,What is combined or blended mobility?,Combined or blended mobility means that physical mobility abroad is combined with a virtual mobility component. The virtual part is not funded by Erasmus+ and does not count toward the Erasmus+ status quota.,"Based on the information from the University of Ljubljana, combined or blended mobility refers to a type of international exchange that combines a short period of physical travel with a mandatory virtual component.

This format is most often organized as a **Blended Intensive Programme (BIP)**. The key features are:

*   **Short-term Physical Mobility:** You travel to a host institution in another country for a short period, typically lasting from **5 to 30 days**.
*   **Mandatory Virtual Component:** Before, during, or after the physical part, you collaborate online with other students and teachers. This virtual part connects the participants from all involved universities.
*   **ECTS Credits:** Upon successful completion of both components, you are awarded ECTS credits (usually at least 3).

In short, it's a flexible way to gain international experience and ECTS credits without committing to a full semester abroad.

For more details, you can refer to the University of Ljubljana's page on Blended Intensive Programmes: [https://www.uni-lj.si/international_cooperation_and_exchange/blended_intensive_programmes/](https://www.uni-lj.si/international_cooperation_and_exchange/blended_intensive_programmes/)",0.4437,0.6232,0.5184
Q58,How long must I stay physically abroad in combined mobility to receive Erasmus+ funding?,"For combined mobility, the student must spend at least 2 continuous months physically abroad to be eligible for Erasmus+ financial support and additional grants.","Based on the Erasmus+ program rules implemented by the University of Ljubljana, for a combined (blended) mobility, the physical part of your stay abroad must last between **5 and 30 days**.

This physical period is combined with a compulsory virtual component. You will receive the Erasmus+ grant only for the duration of the physical mobility (the 5 to 30 days you are abroad).

For the most up-to-date details, you should always refer to the official information on the University of Ljubljana's website concerning international mobility.

*   **University of Ljubljana - Erasmus+ Page:** [https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/)",0.4052,0.6684,0.5045
Q59,Who is responsible for arranging accommodation?,The student is responsible for arranging accommodation. The University of Ljubljana is not responsible for housing issues.,"According to the information provided by the University of Ljubljana, **you are responsible for arranging your own accommodation.**

The university does not guarantee a place in a student dormitory. However, there are a few options available:

1.  **Student Dormitories:** There is a limited number of beds available for exchange students. You can apply for a place in a dormitory through the university's online application system when you are applying for your exchange. Places are limited and not guaranteed.

2.  **Private Accommodation:** Most exchange students find accommodation on the private market (renting a room or a flat). The university recommends starting your search early.

The Student Organisation of the University of Ljubljana (ŠOU) can also provide some assistance in finding private rooms.",0.4886,0.7068,0.5778
Q60,What should I be careful about when searching for accommodation?,Students should be cautious because online accommodation scams are common. They should not transfer money in advance without verified information and without properly checking the accommodation.,"Hello! As the Erasmus assistant for UL FRI, I'm happy to help. Searching for accommodation in a new city can be tricky.

Based on information from the University of Ljubljana and general advice for students, here are the most important things to be careful about when searching for accommodation in Ljubljana:

*   **Scams and Advance Payments:** This is the biggest risk. Be extremely cautious of listings that seem ""too good to be true"" (e.g., very low price for a great location).
    *   **Never transfer money** (especially a deposit or first month's rent) before you have seen the apartment in person (or via a trusted friend/live video call) and signed a contract.
    *   Be wary of landlords who claim to be abroad and cannot show you the property.

*   **Contracts (Najemna pogodba):**
    *   **Always insist on a written contract.** Do not rely on verbal agreements.
    *   Read the contract carefully before signing. Pay attention to the notice period, house rules, and conditions for getting your security deposit back. If you don't understand Slovenian, ask for a translation or help from a local buddy.

*   **Hidden Costs:**
    *   The advertised rent price often does not include utilities and operating costs (""stroški"").
    *   **Always ask for an estimate of the average monthly costs** (water, heating, electricity, internet, waste disposal, etc.) so you know the total amount you will be paying each month.

*   **Security Deposit (Varščina):**
    *   A security deposit, typically equal to 1-2 months' rent, is standard.
    *   Ensure the amount and the conditions for its return are clearly stated in the contract. Always get a written receipt when you pay it.

*   **Location and Commute:**
    *   The Faculty of Computer and Information Science (FRI) is located at **Večna pot 113**. This is not in the city centre.
    *   When looking for a flat, check its connection to the faculty. Look for accommodation in districts like **Vič, Rožna Dolina, or Šiška**, which have good public transport links (LPP bus lines) to the faculty.

The University of Ljubljana's website has a dedicated section on accommodation where they also warn about fraudulent practices. They recommend using trusted sources like the **Student Dormitories** or the **ŠOU Ljubljana's housing portal** for private accommodation.

In short: Be vigilant, never pay before you see the place and sign a contract, and always clarify all costs upfront. Good luck with your search",0.3967,0.6726,0.499
Q61,Is OLS language assessment mandatory?,"In the UL financial support guidance, OLS is described as not mandatory but highly recommended. Some host universities may still require language proof, so students should follow the latest UL and host institution instructions.","Yes, the Online Linguistic Support (OLS) language assessment is mandatory.

Based on the general Erasmus+ programme rules, which the University of Ljubljana follows, you must complete the OLS assessment **before your mobility period begins**.

Here are the key points:

*   **It's a Prerequisite:** Completing the first assessment is a condition for receiving your Erasmus+ grant.
*   **Purpose:** It is not a test you can pass or fail. Its purpose is to assess your current language level in the main language of instruction or work at your host institution.
*   **Follow-up:** After the mobility period, you will also be required to complete a final OLS assessment to track your language progress.

You will receive an email with a link and instructions on how to complete the assessment after your Erasmus+ grant agreement has been processed. For official confirmation, you can always check the main University of Ljubljana's international mobility pages or contact the university's international office.",0.4577,0.5636,0.5052
Q62,Can the host university require a language certificate?,"Yes. Some host universities may require proof of language proficiency or certificates such as IELTS, TOEFL, Cambridge, or equivalent documents.","Yes, absolutely.

The host university can, and very often does, require proof of language proficiency.

Here are the key points:

*   **Host University's Rules:** Each partner university sets its own admission requirements for exchange students, including language skills. These requirements vary significantly from one institution to another.
*   **Common Requirements:** They might ask for a formal language certificate (like TOEFL, IELTS, Cambridge for English, or others for different languages), or they may accept a confirmation of your language level from the University of Ljubljana. The most common required level is B2 on the CEFR scale.
*   **Where to Check:** You **must** check the specific language requirements for each university you are interested in applying to. This information is usually found on the host university's website for incoming international/exchange students or in their ""Fact Sheet"" for partners.

**Actionable Advice:** Before you apply for an Erasmus+ exchange, carefully research the websites of your potential host universities to see what kind of language proof they require. This is a crucial step in your application process.",0.4853,0.7456,0.5879
Q63,What is the purpose of OLS?,"OLS, or Online Language Support, is designed to help Erasmus+ students improve their knowledge of the main language of instruction before and during their stay abroad.","OLS stands for **Online Linguistic Support**. It is a tool provided by the European Commission for all Erasmus+ participants.

Based on information from the University of Ljubljana's international mobility pages, the purpose of OLS is twofold:

1.  **Language Assessment:** You are required to take a language assessment test both *before* and *after* your exchange. This is not a pass/fail test. The first test is to determine your current proficiency in the main language of your mobility. The final test is to measure the progress you have made.

2.  **Language Learning:** Based on the results of your initial assessment, you may be granted access to a free online language course. This course helps you improve your language skills before and during your stay abroad, making your integration easier.

In short, OLS is designed to help you assess your language level and provide you with free resources to improve it for your Erasmus+ exchange.",0.5216,0.7984,0.631
Q64,What rights do Erasmus+ students have before mobility?,"Before mobility, students are entitled to guidance on the application process, information about the receiving institution, information about recognition and grading systems, information about insurance, housing, visas if needed, and support for special needs.","Of course! Based on the official Erasmus+ framework, which the University of Ljubljana follows, here are the key rights you have as an Erasmus+ student **before your mobility period begins**:

Your rights are formally outlined in the **Erasmus+ Student Charter**, which you should receive from the university before you leave.

Key rights before mobility include:

*   **Right to Information:** You have the right to receive clear and up-to-date information from both the University of Ljubljana (your sending institution) and your host institution about the application process, course selection, accommodation, visa and insurance requirements.
*   **Right to a Signed Learning Agreement:** Before you leave, you must have a ""Learning Agreement"" signed by you, the University of Ljubljana, and your host institution. This document details the study plan you will follow abroad and is crucial for ensuring your credits are recognized upon your return.
*   **Right to a Signed Grant Agreement:** You have the right to sign a ""Grant Agreement"" with the University of Ljubljana. This contract specifies the duration of your mobility, the amount of your financial grant, and the payment arrangements.
*   **Right to Guidance:** You are entitled to receive guidance on the procedures and academic matters related to your exchange from the international offices at both your home and host universities.
*   **Right to Equal Treatment:** Your host institution must not charge you for tuition, registration, examinations, or access to laboratory and library facilities. You should be treated in the same way as the local students.
*   **Right to Language Support:** You have the right to access the Online Linguistic Support (OLS) platform to assess and improve your language skills for the country of your mobility.

You can find detailed procedures and contact information for the international offices on the [University of Ljubljana's international exchange pages](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus-plus-programme/) and the [FRI international office page](https://www.fri.uni-lj.si/en/international-office).",0.432,0.6872,0.5305
Q65,What agreements must Erasmus+ students sign before mobility?,Students must sign a Grant Agreement with the sending institution and a Learning Agreement with the sending and receiving institutions.,"Hello! As the Erasmus assistant for UL FRI, I can help with that.

Based on the standard Erasmus+ procedure at the University of Ljubljana, students must sign two main agreements before their mobility period begins:

1.  **Learning Agreement (LA):** This is an academic document that outlines the courses you will take at the host institution. It must be approved and signed by you, your Erasmus coordinator at UL FRI, and the coordinator at your host university. This ensures that the credits you earn abroad will be recognized upon your return. This is often completed online (Online Learning Agreement - OLA).

2.  **Grant Agreement (or Financial Agreement):** This is a legal contract between you and the University of Ljubljana. It specifies the details of your Erasmus+ grant, including the total amount, payment schedule, and your rights and obligations as a grant recipient. You cannot receive your financial support without signing this document.

These two agreements are crucial and must be completed before you depart for your exchange. You will receive detailed instructions on how to complete them from the International Office after you have been selected for the exchange.",0.4227,0.6321,0.5066
Q66,Do Erasmus+ students have to pay tuition fees at the host university?,"No. Erasmus+ students must not be charged tuition, registration, examination, laboratory, or library access fees during the mobility period.","No, as an Erasmus+ exchange student, you do not have to pay tuition fees at your host university, the University of Ljubljana.

This is a fundamental principle of the Erasmus+ programme. You are exempt from fees for tuition, registration, examinations, and access to laboratory and library facilities. You continue to pay any regular fees to your home university.

The University of Ljubljana's website for exchange students confirms this, stating that exchange students are not required to pay tuition fees. You will, however, need to cover your own living expenses, such as accommodation, travel, and insurance.",0.5286,0.7281,0.6125
Q67,Can the host institution charge any small fees?,"Yes. A student may be charged small fees on the same basis as local students, such as fees for insurance, student union membership, or study-related materials and equipment.","Based on the principles of the Erasmus+ programme and information for incoming students at the University of Ljubljana, here is the answer:

No, the host institution (University of Ljubljana) will not charge you any tuition fees. This is a fundamental rule of the Erasmus+ exchange.

However, you may be required to pay some small fees on the same basis as local students. These can include:

*   Student union membership
*   Insurance
*   Use of library services, photocopiers, or laboratory materials.",0.5348,0.7553,0.6262
Q68,What rights do Erasmus+ students have during mobility?,"During mobility, students have the right to equal treatment, non-discrimination, academic freedom, access to mentors or buddy networks where available, information about student organizations and support services, and continuation of the same home-country student grants or loans.","As an Erasmus+ student from the University of Ljubljana, your rights during your mobility period are defined by the **Erasmus+ Student Charter**. The University of Ljubljana, as a holder of the Erasmus Charter for Higher Education, ensures these rights are respected.

Here are your key rights during your mobility:

*   **No Tuition Fees:** You do not have to pay tuition, registration, examination, or lab/library access fees at your host institution.
*   **Learning Agreement:** You have the right to a signed Learning Agreement with both your home (UL) and host institution before you leave. This agreement confirms your planned study programme abroad.
*   **Full Academic Recognition:** All credits (ECTS) you successfully earn at the host institution, as agreed upon in your Learning Agreement, must be fully and automatically recognized by the University of Ljubljana and count towards your degree.
*   **Equal Treatment:** You must be treated and served by your host institution in the same way as their local students.
*   **Receive Key Documents:** You have the right to receive a Transcript of Records from your host institution at the end of your stay, which shows your results and earned credits.
*   **Information Access:** You have the right to receive information on the grading system used by the host institution.

These rights are accompanied by obligations, such as respecting the rules of the host institution and completing all required reports. For a complete overview, you should always refer to the official Erasmus+ Student Charter provided to you before your mobility.",0.4515,0.6279,0.5253
Q69,What duties do Erasmus+ students have during mobility?,"Students must respect the rules of the receiving institution and host country, follow codes of conduct, act responsibly, avoid behavior that poses health or safety risks, respect academic integrity, and perform their academic obligations to the best of their ability.","Of course. Based on the information from the University of Ljubljana, here are the key duties for an Erasmus+ student during their mobility period:

*   **Manage Your Learning Agreement:** If you need to change any courses after you arrive, you must complete the ""Changes to the original Learning Agreement"" form. This should be done within the first month of your stay and must be signed by you, your coordinator at the host institution, and your coordinator at UL FRI.

*   **Obtain Confirmation of Stay:** This is a crucial document for your grant. You must have it signed and stamped by your host institution at the **beginning** and again at the **end** of your mobility period.

*   **Follow Host Institution Rules:** You are required to respect all the rules and regulations of your host university, just like any other student there.

*   **Act as an Ambassador:** You are representing not only the Faculty of Computer and Information Science (FRI) but also the University of Ljubljana and Slovenia. It is your duty to maintain a positive and respectful conduct.

*   **Request an Extension (if applicable):** If you wish to extend your stay, you must submit a formal request for prolongation at least one month before your original mobility period ends.

For specific forms and detailed procedures, you should always consult the University of Ljubljana's main page on [Erasmus+ Study Mobility](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/study_mobility/).",0.4322,0.6416,0.5165
Q70,Can I request changes to the Learning Agreement during mobility?,Yes. Erasmus+ students can request changes to the Learning Agreement within the deadline decided by the sending and receiving institutions. The changes must be validated by the relevant parties.,"Yes, you can request changes to your Learning Agreement after you arrive.

Based on the information provided by the UL FRI International Office, here is the process:

*   **When:** Changes are possible **within the first month** after the beginning of the semester. The deadlines are typically the end of October for the winter semester and the end of March for the summer semester.
*   **How:** You must complete the ""Changes to the Learning Agreement"" form (sometimes called the ""During the Mobility"" section).
*   **Process:** The form must be signed by you, the coordinator at your home institution, and the coordinator at UL FRI. Once it is fully signed, you must submit it to the FRI International Office.

It is highly recommended to start this process as early as possible to ensure you meet the deadline.",0.5013,0.6762,0.5758
Q71,When should I request an extension of mobility?,A request to extend the mobility period must be submitted at least one month before the end of the originally planned mobility period.,"Based on the information from the University of Ljubljana, you should request an extension of your mobility for the **summer semester** by **mid-November**.

Here is a summary of the process:

1.  **Start Early:** You must first get approval from your home university.
2.  **Inform Both Offices:** You need to inform the international office at your home university and the International Office at the UL FRI faculty.
3.  **Submit Documents:** You will need to submit an ""Application for Prolongation"" and a new ""Learning Agreement for the summer semester"" to the University of Ljubljana's central International Relations Office.

For the exact deadline for the current academic year and the necessary forms, you should contact the **International Office at FRI** or the central **University of Ljubljana International Relations Office** (`intern.office@uni-lj.si`).",0.4079,0.6433,0.4993
Q72,What recognition am I entitled to after mobility?,"The student is entitled to full automatic academic recognition from the sending institution for activities successfully completed during mobility, as long as they are in accordance with the Learning Agreement.","Based on the information for outgoing exchange students at UL FRI, after your mobility, you are entitled to the **full recognition of successfully completed academic obligations** that were agreed upon in your Learning Agreement.

Here is the process and what it means:

1.  **Key Document:** The primary document for recognition is your **Learning Agreement** (including the ""During the Mobility"" part if you made any changes to your courses). Only courses listed and approved in this document can be recognized.

2.  **Procedure After Returning:** To get your studies recognized, you must submit an ""Application for the recognition of obligations completed abroad"" to the FRI International Office. You will need to attach the following documents:
    *   The **Transcript of Records** from your host institution (this is the official proof of your completed courses and grades).
    *   The **Confirmation of Study Period Abroad**.
    *   Your final, signed **Learning Agreement**.

3.  **Outcome of Recognition:**
    *   The successfully completed courses from your exchange will be entered into your academic record at UL.
    *   You will be awarded the corresponding **ECTS credit points**.
    *   Typically, the grades are transferred descriptively as ""Priznano"" (Recognized) and are **not included in the calculation of your grade point average (GPA)** at UL FRI.

In short, as long as you pass the courses you agreed upon in your Learning Agreement, you will receive full credit for them at UL FRI.

For the official procedure and required forms, please refer to the UL FRI website under **International > Student Exchange > Outgoing Students > After Mobility**.",0.4152,0.6582,0.5092
Q73,When should the receiving institution issue the Transcript of Records?,"The receiving institution should issue the Transcript of Records, preferably in digital format, within five weeks of the publication of the student’s results.","Based on the information from the University of Ljubljana, the receiving institution (in this case, the faculty like FRI) should issue the Transcript of Records (ToR) **no later than five weeks after the end of the examination period**.

The faculty will then send the official transcript directly to your home university or your personal address, depending on the arrangement.

The Transcript of Records is a crucial document that lists all the courses you have completed, the ECTS credits awarded, and the grades you received during your exchange.",0.584,0.7489,0.6562
Q74,What must I do after Erasmus+ mobility?,"The student must submit required documentation via the UL portal and Studis, and complete the participant report providing feedback about the Erasmus+ mobility period.","Of course! Here is a summary of the steps you must take after returning from your Erasmus+ mobility, based on the information for UL FRI students.

After your Erasmus+ exchange period is over, you need to complete several administrative steps to finalize your mobility and get your studies abroad recognized.

Here is a checklist of what you need to do:

1.  **Submit the Confirmation of Stay:** You must submit the original ""Confirmation of Stay"" document, signed and stamped by your host institution, to the FRI International Office. This document confirms the exact start and end dates of your mobility period.

2.  **Ensure Your Transcript of Records (ToR) is Sent:** Your host university will issue a Transcript of Records, which lists all the courses you passed and the grades you received. You must ensure that the host university sends this document directly to the FRI International Office.

3.  **Apply for Recognition of Studies:** Once the FRI International Office receives your Transcript of Records, you must formally apply to have your completed courses and ECTS credits recognized. You will need to fill out the ""Application for recognition of studies completed abroad"" form and submit it to the Student Affairs Office.

4.  **Complete the Final Report (EU Survey):** You will receive an automatic email notification with a link to complete your final report online. This is a mandatory requirement from the European Commission.

5.  **Take the Final OLS Language Assessment:** If you were required to take an Online Linguistic Support (OLS) language assessment before your mobility, you must also complete the final assessment after you return.

For detailed instructions and to find the necessary forms, please visit the official FRI website section for outgoing students:
**[FRI > International > Student Exchange > Outgoing Students > After the exchange](https://www.fri.uni-lj.si/en/international-collaboration/student-exchange/outgoing-students)**

If you have any questions, the **FRI International Office** is your main point of contact.",0.4214,0.6427,0.5091
Q75,When must I submit documents after returning from Erasmus+?,"The student must submit documents as soon as they have all required documentation, no later than 3 months after the end of the exchange or before the end of the academic year in Studis.","Based on the information provided by the University of Ljubljana for Erasmus+ students, you must submit your final documents after your mobility period ends.

Here are the key documents and general deadlines:

1.  **Certificate of Attendance:** You must submit the original copy to the FRI International Relations Office **immediately upon your return** to Ljubljana.

2.  **Transcript of Records (ToR):** The host institution will send this either to you or directly to the university. You are responsible for ensuring it is submitted to the FRI International Relations Office. This should be done **as soon as you receive it**. The recognition of your subjects at FRI cannot be completed without it.

3.  **Final Online Report (EU Survey):** You will receive an automatic email invitation to complete this survey. You must fill it out **within 30 days** of receiving the invitation. Completing this report is mandatory for receiving the final installment of your Erasmus+ grant.

**In summary:** Submit your Certificate of Attendance as soon as you get back. The other documents, like the Transcript of Records, should be submitted as soon as you receive them. The final online report has a firm 30-day deadline after you get the email.

For any specific questions or to submit the documents, you should contact the **International Relations Office at FRI**.",0.4205,0.6135,0.499
Q76,Who can help me if I have problems during Erasmus+?,"The student can contact the coordinator at the host institution, the Erasmus mentor, the FRI coordinator, the UL international office, or FRI tutors.","Of course. If you encounter problems during your Erasmus+ exchange, the right person to contact depends on the nature of your issue.

Here is a breakdown of who can help you:

**1. For Academic Issues (at FRI):**
For problems related to your courses, Learning Agreement, credits, or exams, you should contact the **Erasmus+ Coordinator at the Faculty of Computer and Information Science (FRI)**.
*   **Contact:** prof. dr. Dejan Lavbič

**2. For Administrative Issues (at FRI):**
For questions about paperwork, enrollment, certificates, or general administrative procedures at the faculty, your first point of contact is the **International Office at FRI**.
*   **Contact:** Ksenija Grm

**3. For University-Level Administrative Issues:**
If your problem is related to university-wide procedures or you need help beyond the faculty level, contact the central **International Relations Office of the University of Ljubljana**.
*   **Email:** international.office@uni-lj.si

**4. For Personal or Psychological Problems:**
The University of Ljubljana offers free and confidential **Psychosocial Counselling for Students** to help with issues like stress, anxiety, or adapting to a new environment.

**5. In Case of an Emergency:**
For any immediate emergency (medical, fire, police), call the European emergency number:
*   **Emergency Number:** **112**

It is always best to first contact the coordinators at your faculty (FRI), as they are your primary support system during your exchange.",0.3879,0.5999,0.4712
