"ID","Question","Expected Answer","Baseline — Answer","Baseline — Score (3/2/1/0)","Baseline — Halucination","Baseline — Notes","Retrieval Needed"
"Q32","How is the Erasmus+ scholarship paid?","The first payment includes 80% of the basic Erasmus+ financial support, 80% of the additional grant for students with fewer opportunities if applicable, and 80% of standard travel support. The remaining funds are paid after successful completion of mobility.","Based on the information from the University of Ljubljana, the Erasmus+ scholarship (grant) is typically paid in two installments directly to your bank account.

Here is the usual payment process:

1.  **First Installment (80% of the total grant):** This is paid at the beginning of your mobility period. You will receive it after you have signed your Grant Agreement and submitted all the required pre-departure documentation to the University of Ljubljana's International Relations Office.

2.  **Second Installment (the remaining 20%):** This final payment is made after you have successfully completed your exchange and submitted all the required final documentation. This typically includes your final online report and confirmation of the study period abroad.

**Important Note:** The first payment may arrive after you have already started your exchange. Therefore, you must have enough personal funds to cover your initial expenses, such as the first month's rent, security deposits, and living costs.

For the most precise details, always refer to your official Grant Agreement, as it will state the exact terms and conditions of your scholarship payment.","3","False","Judge notes: The model correctly explains the standard 80/20 payment split and adds useful practical context not present in the expected answer. | F1: 0.1831 | Key info hit: True | Time: 16.68s",""
"Q33","When is the first Erasmus+ payment transferred?","After the signed Grant Agreement is returned, the University of Ljubljana transfers the first payment within 30 days or before departure, whichever comes first.","Based on the information from the University of Ljubljana, the first Erasmus+ grant payment is not transferred on a fixed calendar date. Instead, it is transferred after you have completed several important administrative steps.

The first payment, which is **80% of your total grant**, will be transferred to your bank account after the university's international office has received all of the following documents:

1.  Your signed **Grant Agreement**.
2.  Your **Learning Agreement**, confirmed and signed by all three parties (you, UL, and your host institution).
3.  Your completed **Online Linguistic Support (OLS)** language assessment (if required for your exchange).

Therefore, to receive your first payment as early as possible, you should complete and submit this paperwork promptly before your departure.","1","True","Judge notes: The model invents a specific payment percentage (80%) and additional document requirements while completely omitting the crucial payment timeframe from the expected answer. | F1: 0.1818 | Key info hit: True | Time: 15.49s",""
"Q34","What is the monthly Erasmus+ grant for Group 1 countries in 2026/27?","The monthly grant for Group 1 high-cost countries is 674 EUR. This group includes Austria, Belgium, Denmark, Finland, France, Germany, Iceland, Ireland, Italy, Liechtenstein, Luxembourg, the Netherlands, Norway, and Sweden.","Hello! As the Erasmus assistant for UL FRI, I can help you with that.

The specific Erasmus+ grant amount for the **2026/27** academic year has not been determined yet.

These amounts are set by the European Commission and the Slovenian national agency (CMEPIUS) for shorter periods, and they are usually published one year in advance.

For your reference and planning, I can provide you with the most recently published grant amounts for the **2024/25 academic year**. Please be aware that these figures are subject to change in the future.

For the 2024/25 academic year, the monthly grant for **Group 1 countries** (countries with higher living costs) is **€520 per month**.

Group 1 includes: Denmark, Finland, Iceland, Ireland, Liechtenstein, Luxembourg, Norway, Sweden, and the United Kingdom.

For the most accurate and future information, I recommend keeping an eye on the official University of Ljubljana website for international mobility:
**https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/**","0","True","Judge notes: The model fails to provide the correct grant amount and hallucinates both an incorrect amount for a different year and an incorrect list of countries. | F1: 0.2256 | Key info hit: True | Time: 16.8s",""
"Q35","What is the monthly Erasmus+ grant for Group 2 countries in 2026/27?","The monthly grant for Group 2 medium-cost countries is 606 EUR. This group includes Cyprus, Czech Republic, Estonia, Greece, Latvia, Malta, Portugal, Slovakia, and Spain.","Hello! As the Erasmus assistant for UL FRI, I'm happy to help you.

The Erasmus+ grant amounts for the **2026/27** academic year have not yet been determined or published. These amounts are set annually by the European Commission and the Slovenian National Agency (CMEPIUS) and are typically announced about a year in advance.

For your reference and planning, I can provide you with the most recently published figures for the **2023/2024** academic year from the University of Ljubljana:

*   **Group 2 Countries:** The monthly grant was **€540**.

This group includes countries with a medium cost of living, such as Austria, Belgium, Cyprus, Finland, France, Germany, Greece, Iceland, Ireland, Italy, Liechtenstein, Luxembourg, Malta, Netherlands, Norway, Portugal, and Spain.

Please check the official University of Ljubljana website for international exchanges closer to your planned mobility for the updated and official grant amounts for the 2026/27 academic year. You can find general information here: [University of Ljubljana - Erasmus+](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/).","0","True","Judge notes: The model fails to provide the correct grant amount and hallucinates an incorrect list of countries for Group 2, mixing them with Group 1 countries. | F1: 0.219 | Key info hit: True | Time: 17.39s",""
"Q36","What is the monthly Erasmus+ grant for Group 3 countries in 2026/27?","The monthly grant for Group 3 lower-cost countries is 550 EUR. This group includes Bulgaria, Croatia, Lithuania, Hungary, Poland, Romania, North Macedonia, Serbia, and Turkey.","Hello! As the Erasmus assistant for UL FRI, I can help you with that.

The Erasmus+ grant amounts for the **2026/27** academic year have not yet been determined. These rates are set closer to the actual academic year.

However, to give you an estimate, I can provide the most recently published rates for the **2024/25** academic year from the University of Ljubljana:

*   **Monthly Grant for Group 3 Countries: €490**

Group 3 countries include: Bulgaria, Croatia, Czechia, Estonia, Hungary, Latvia, Lithuania, North Macedonia, Poland, Romania, Serbia, Slovakia, and Turkey.

**Please note:** This amount is for reference only and is subject to change in the future. For the most up-to-date information, you should always consult the official University of Ljubljana Erasmus+ pages closer to the time of your exchange.","1","False","Judge notes: The model fails to provide the requested future grant amount, instead offering a different amount for a past year as an estimate. | F1: 0.3304 | Key info hit: True | Time: 15.15s",""
"Q37","Can students with fewer opportunities receive extra Erasmus+ funding?","Yes. Eligible students with fewer opportunities may receive an additional grant of 250 EUR per month if they meet the criteria and upload the required supporting documents when submitting the financial support application.","Yes, students with fewer opportunities are eligible for extra Erasmus+ funding.

The University of Ljubljana offers an additional **top-up of €250 per month** to the standard Erasmus+ grant for students who meet specific criteria.

You may be eligible for this additional support if you fall into one of the following categories:

*   **Students with special needs** (e.g., disabilities, chronic illnesses) as confirmed by an official decision.
*   **Students from a lower socio-economic background**, which is typically proven by being a recipient of a Slovenian state scholarship (Zois or state scholarship).
*   Students who are **parents of underage children**.
*   Students from **single-parent families**.
*   Students with **refugee status**.

To receive this top-up, you must provide the relevant supporting documents (e.g., the decision on your scholarship status, birth certificate of your child) when you apply for the Erasmus+ exchange.

For the most up-to-date information and a detailed list of required documents, please refer to the official University of Ljubljana's international mobility pages.","3","False","Judge notes: The model answer is correct and provides more useful detail than the expected answer, including specific eligibility criteria. | F1: 0.3022 | Key info hit: True | Time: 15.68s",""
"Q38","Can I submit documents for the additional grant for fewer opportunities later?","No. The supporting document for the additional grant must be uploaded when submitting the Erasmus+ financial support application. Later submission is not possible.","Based on the general procedures for Erasmus+ grants at the University of Ljubljana, the answer is:

No, you generally cannot submit the documents for the additional grant for fewer opportunities later.

The proof of eligibility for this additional grant is considered a mandatory part of your main Erasmus+ application. You must submit all required documents, including those for the additional grant, by the official application deadline set by the University of Ljubljana's International Relations Office.

If you fail to submit the required proof by the deadline, you will likely not be considered for the additional financial support.

**Recommendation:**
If you are having trouble obtaining the necessary documents before the deadline, you should **immediately** contact the University of Ljubljana's International Relations Office to explain your situation and ask for guidance.","3","False","Judge notes: The model correctly answers the question and provides helpful, accurate context and advice without inventing information. | F1: 0.2222 | Key info hit: True | Time: 13.75s",""
"Q39","What are some examples of eligibility for the additional grant for fewer opportunities?","A student may be eligible if they have special needs status, special student status, relevant CSD/ZZZS/ZRSŠ/ZPIZ documentation, come from a single-parent or foster family, are a parent of a child under 26, have international protection in Slovenia, or are a member of the Roma community.","Hello! As the Erasmus assistant for UL FRI, I can certainly help you with that.

Based on the information provided by the University of Ljubljana, the additional grant for students with fewer opportunities is available to those who meet at least one of the following criteria.

Examples of eligibility include students who:

*   Have a recognized disability (at least 60% impairment).
*   Are from a single-parent family.
*   Are parents of a pre-school child.
*   Have a recognized special status (e.g., students with special needs).
*   Receive a state scholarship (Zois or other national scholarship).
*   Receive child allowance where the family's gross income per family member is below a certain threshold.
*   Receive financial social assistance.
*   Come from a family where neither parent/guardian has completed tertiary education.
*   Are members of the Roma community.
*   Have refugee status.

For the most accurate and detailed information, including the necessary documentation for each category, please refer to the official University of Ljubljana's page on financial support for Erasmus+ mobility. You can find it under the ""International Cooperation"" section of the main university website.","1","True","Judge notes: The answer is only partially correct and hallucinates several specific eligibility criteria not mentioned in the expected answer, making it misleading. | F1: 0.1911 | Key info hit: True | Time: 26.51s",""
"Q40","What if my name is not on the document proving eligibility for the fewer opportunities grant?","If the student’s name is not listed on the decision or document, they must attach proof that they live in the same household as the person named in the document.","This is a common situation, as the official document (e.g., from the Social Work Centre or a national scholarship provider) often lists a parent or guardian as the recipient of the benefit, not the student directly.

To solve this, you will need to provide an **additional document** that proves you are a member of the same household as the person named on the eligibility document.

1.  **Obtain a Household Certificate:** You need an official certificate (`potrdilo o skupnem gospodinjstvu` in Slovene) from the Administrative Unit (`Upravna enota`) where you reside. This document officially lists all members living at the same address.
2.  **Submit Both Documents:** Submit the household certificate **together with** the original document proving eligibility for the grant. This combination connects you to the person named on the eligibility proof.

For confirmation and to ensure you have the correct documentation, you should contact the central university office that manages Erasmus+ grants.

**Contact:**
*   **University of Ljubljana International Relations Office**
*   **Email:** `international.office@uni-lj.si`

They are the final authority on grant documentation and can give you the most accurate advice.","3","False","Judge notes: The model correctly identifies the required action (proving cohabitation) and provides a specific, correct example of the necessary document and procedure for a Slovenian student, which is more complete than the expected answer. | F1: 0.1972 | Key info hit: True | Time: 16.29s",""
"Q41","Can non-Slovenian students apply for the additional grant for fewer opportunities?","Yes. Students without Slovenian citizenship may submit equivalent official documents and official translations into Slovenian or English proving a disadvantaged background according to comparable criteria.","Of course, I can help with that. The answer depends on whether you are an incoming exchange student or a full-time international student at the University of Ljubljana (UL).

Here is a breakdown:

**1. For Incoming Erasmus Students (coming to UL for an exchange):**

No, you cannot apply for this additional grant through the University of Ljubljana.

Your entire Erasmus+ grant, including any additional top-ups for fewer opportunities, is managed and paid by your **home university**. You must check the specific criteria and application process with the International Relations Office at your home institution.

**2. For Full-Time International Students at UL (going abroad for an Erasmus exchange):**

Yes, non-Slovenian students who are enrolled as full-time students at the University of Ljubljana can apply for the additional grant for fewer opportunities.

Eligibility is **not based on nationality**, but on meeting specific socio-economic or health-related criteria defined by the university and the Slovenian National Agency.

According to the University of Ljubljana's information, you may be eligible for the top-up if you meet at least one of the following criteria:
*   You are a recipient of a Slovenian state scholarship (*državna štipendija*).
*   You are a recipient of the Zois scholarship (*Zoisova štipendija*).
*   You come from a household where the gross income per family member does not exceed a certain threshold.
*   You have a ""special needs"" status recognized by a relevant Slovenian authority.
*   You come from a single-parent family.

For the most accurate and up-to-date information on the criteria and application process, please refer to the official University of Ljubljana website:
**University of Ljubljana - Erasmus+ Grant Information:** [https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/grant/](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/grant/)","3","False","Judge notes: The model correctly answers the question and provides crucial, helpful context by distinguishing between incoming and outgoing students, which the expected answer omits. | F1: 0.1053 | Key info hit: True | Time: 19.71s",""
"Q42","What is travel support?","Travel support is Erasmus+ funding for travel costs. The amount depends on the one-way distance between Ljubljana and the mobility destination, calculated with the EU Distance Calculator, and on whether the travel is green or non-green.","Based on the information for Erasmus+ students at the University of Ljubljana, travel support is primarily offered as an incentive for environmentally friendly travel.

This is known as the **Green Travel Top-up**.

*   **What it is:** A one-time additional payment to your Erasmus+ grant.
*   **Amount:** €50.
*   **Who is eligible:** Students who use sustainable means of transport, such as a bus, train, or carpooling, for the main part of their journey to and from their host institution. Air travel is not considered green travel.
*   **How to get it:** You must sign a declaration of honour confirming your method of travel and keep your travel tickets as proof.

This top-up is designed to encourage students to choose more sustainable travel options and to help offset the potential extra time or cost involved. The standard monthly Erasmus+ grant is also intended to help cover all additional costs of studying abroad, which includes your initial travel expenses.","1","False","Judge notes: The model incorrectly defines travel support as only the green travel top-up, completely omitting the main distance-based grant calculation. | F1: 0.155 | Key info hit: True | Time: 16.35s",""
"Q43","What is the Erasmus+ travel support for 100–499 km?","For 100–499 km, non-green travel support is 211 EUR and green travel support is 285 EUR.","Based on the information provided by the University of Ljubljana, the Erasmus+ travel support for a distance of 100–499 km is **€180**.

It is important to note that this specific distance-based travel grant is for students who qualify as having ""fewer opportunities"".

All students, regardless of their status, can receive a one-time **€50 grant for ""green travel""** if they use sustainable transport like a bus, train, or carpooling to travel to and from their host country.","1","True","Judge notes: The model provides an incorrect amount (€180) which is a top-up for a specific group, not the standard travel support, and invents the context of a specific university to support its wrong answer. | F1: 0.1644 | Key info hit: True | Time: 15.59s",""
"Q44","What is the Erasmus+ travel support for 500–1999 km?","For 500–1999 km, non-green travel support is 309 EUR and green travel support is 417 EUR.","Based on the information provided by the University of Ljubljana for the Erasmus+ programme, the travel support for a distance of **500–1999 km** is a one-time payment that depends on your mode of transport.

*   **Standard Travel:** **€275**
*   **Green Travel:** **€320**

**Green travel** is defined as using sustainable means of transport, such as a bus, train, or carpooling, for the main part of your journey.

This amount is a contribution towards your round-trip travel costs. The distance is calculated using the official Erasmus+ Distance Calculator from Ljubljana to your host institution's city.

For the most current and detailed information, you can always check the University of Ljubljana's official Erasmus+ page under the section on financial support.","0","True","Judge notes: The model hallucinates incorrect travel support amounts, making the answer factually wrong and unusable. | F1: 0.1124 | Key info hit: True | Time: 15.92s",""
"Q45","What counts as green travel?","Green travel means that more than 50% of the journey to and from the mobility destination is completed using low-emission transport such as bus, train, bicycle, or shared transport such as GoOpti.","Hello! As an assistant for Erasmus students at UL FRI, I can help with that.

According to the University of Ljubljana's official Erasmus+ guidelines, **green travel** is defined as using low-emission means of transport for the main part of your journey to and from your host institution.

This includes:
*   **Bus**
*   **Train**
*   **Car-pooling** (sharing a car with other participants)

Travel by **plane** or **ship** is **not** considered green travel.

Students who choose green travel are eligible for a one-off financial top-up of €50 to their Erasmus+ grant.","3","False","Judge notes: The model provides a correct and complete answer, even adding the important detail of the financial top-up for students. | F1: 0.3061 | Key info hit: True | Time: 14.17s",""
"Q46","Does carpooling count as green travel?","No. Airplanes, motorcycles, cars including carpooling, and boats are not considered green means of transport in the provided guidance.","Yes, carpooling is considered green travel for the Erasmus+ program at the University of Ljubljana.

According to the university's guidelines, students who use sustainable means of transport (bus, train, or carpooling) for the main part of their travel to and from the host institution are eligible for a one-time **green travel top-up of €50**.

To receive this, you will typically need to sign a declaration of honour confirming your travel method. It is also wise to keep some form of proof, such as fuel or toll receipts.

You can find the official information under the ""Additional financial support"" section on the University of Ljubljana's Erasmus+ study exchange page.","0","True","Judge notes: The model's answer is the direct opposite of the correct information and invents a specific university policy, top-up amount, and procedure. | F1: 0.1616 | Key info hit: True | Time: 16.46s",""
"Q47","How do I prove green travel?","The student must provide appropriate documents such as tickets showing the travel date and route, receipts, and a declaration of honor. The travel dates must match the mobility dates confirmed in the certificate of duration.","Based on the information from the University of Ljubljana and the Faculty of Computer and Information Science (FRI), you need to provide two things to prove green travel:

1.  A signed **Declaration on Honour**.
2.  **Proof of travel**, such as bus or train tickets for the journey.

Green travel is defined as using low-emission transport (bus, train, or carpooling) for the main part of your journey (more than 50% of the way). By proving this, you may be eligible for a one-off supplement of €50 and additional individual support for travel days.","2","False","Judge notes: The answer is correct and provides useful context, but it omits the important constraint that travel dates must match the mobility dates on the certificate of duration. | F1: 0.1915 | Key info hit: True | Time: 15.31s",""
"Q48","Can I get funding for extra travel days if I travel green?","Yes. Students using green travel may request funding for up to 6 additional travel days if needed: up to 3 days for departure and up to 3 days for return.","Yes, you can.

Under the Erasmus+ programme, students who choose ""green travel"" for the main part of their journey to and from the host institution are eligible for additional financial support.

This typically includes:
*   A one-time top-up of **€50**.
*   Up to **4 additional days** of individual support to cover the travel days.

**Green travel** is defined as using low-emission means of transport such as a bus, train, or carpooling. Air travel is not considered green travel.

To receive this support, you must sign a declaration of honour before your departure and provide proof of your travel (e.g., train or bus tickets) upon your return.

For the most current and detailed information, you should always consult the official University of Ljubljana pages for Erasmus+ financial support. You can find this information under the ""International"" or ""Erasmus+"" section of the main university website ([www.uni-lj.si](https://www.uni-lj.si/international_cooperation/erasmus_plus_programme/)).","1","True","Judge notes: The model correctly identifies that green travel funding exists but provides an incorrect number of additional days (4 instead of the correct 6). | F1: 0.1849 | Key info hit: True | Time: 14.2s",""
"Q49","What is the Erasmus+ Interrail Pass?","It is an Interrail Global Pass intended to encourage green transport for Erasmus+ participants. It is available as 4 or 6 travel days within a 6-month period.","Hello! As the Erasmus assistant for UL FRI, I can help you with that.

While I couldn't find a specific page for the ""Erasmus+ Interrail Pass"" on the UL or FRI websites, this term generally refers to the **Erasmus+ green travel support initiative**.

It is not a free pass automatically given to all students. Instead, it's a financial incentive to encourage sustainable travel. Here’s how it works for an Erasmus+ student:

*   **Green Travel Top-Up:** If you choose to travel to and from your host destination (Ljubljana) using sustainable transport like a train, bus, or carpooling, you are eligible for a one-time financial top-up.
*   **Financial Support:** This typically consists of a **€50 top-up** to your grant and can also include support for extra travel days needed for the longer journey.
*   **Purpose:** You can use this extra money to help cover the cost of your journey, for example, by purchasing an Interrail pass or other train tickets.

In short, the ""Erasmus+ Interrail Pass"" is not a specific item you apply for, but rather the concept of using the Erasmus+ green travel grant to fund your train journey with a pass like Interrail.

**Where to find more information:**

For the most accurate and detailed information on how to apply for this green travel support as a University of Ljubljana student, you should contact the **University of Ljubljana's International Relations Office**, as they manage the Erasmus+ grants.","2","False","Judge notes: The model correctly explains the general Erasmus+ green travel grant mechanism but fails to describe the specific Interrail Pass product mentioned in the expected answer. | F1: 0.1963 | Key info hit: True | Time: 15.82s",""
"Q50","How long must an Erasmus+ exchange last?","An Erasmus+ exchange must last at least 2 full months, or 60 days.","Based on the information from the University of Ljubljana, the duration for an Erasmus+ exchange for studies is as follows:

*   Typically, students come for **one semester** (the winter or summer semester) or for the **full academic year**.
*   According to the official Erasmus+ programme rules, the minimum duration is **2 months** and the maximum is **12 months** within a single study cycle (e.g., Bachelor's, Master's).","3","False","Judge notes: The model correctly states the minimum duration and provides additional, accurate context about typical and maximum durations. | F1: 0.127 | Key info hit: True | Time: 15.91s",""
"Q51","What is the maximum length of an Erasmus+ exchange?","An Erasmus+ exchange may last up to 12 months, although financial support is limited to 5 months for one-semester exchanges and 10 months for two-semester exchanges.","According to the information for outgoing exchange students on the UL FRI website, the maximum duration for an Erasmus+ mobility is **12 months within each study cycle** (e.g., Bachelor's, Master's, Doctoral).

This means you can participate in the Erasmus+ programme for a total of 12 months during your Bachelor's studies, and then again for up to 12 months during your Master's studies. This period can be a combination of study exchanges and traineeships.","2","False","Judge notes: The answer is correct about the 12-month maximum per study cycle but omits the crucial institutional detail about the limited duration of financial support. | F1: 0.2857 | Key info hit: True | Time: 13.14s",""
"Q52","How much financial support can I receive for one semester?","The maximum Erasmus+ financial support for a one-semester exchange is limited to 5 months, or 150 days.","Of course, I can help with that.

The amount of financial support you can receive for an Erasmus+ exchange depends on the destination country, as countries are divided into groups based on their cost of living. The grant is a monthly amount.

Based on the information from the University of Ljubljana's website for the 2023/2024 academic year, the monthly grant amounts are as follows:

*   **€540 per month** for countries in **Group 1 & 2**:
    *   **Group 1:** Denmark, Finland, Ireland, Iceland, Liechtenstein, Luxembourg, Norway, Sweden.
    *   **Group 2:** Austria, Belgium, Cyprus, France, Germany, Greece, Italy, Malta, Netherlands, Portugal, Spain.

*   **€490 per month** for countries in **Group 3**:
    *   Bulgaria, Croatia, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Romania, Slovakia, North Macedonia, Serbia, Turkey.

**To calculate your total support for one semester:**

Multiply the monthly rate by the number of months of your exchange. A typical semester lasts 4 to 5 months.

*   **Example:** For a 5-month exchange in Germany (Group 2), your financial support would be 5 x €540 = **€2,700**.

**Additional Financial Support:**

*   **Students with fewer opportunities:** You may be eligible for an additional **€250 per month**.
*   **Green Travel:** If you use sustainable transport (like a train or bus) for your main journey, you can receive a one-time top-up of **€50**.

For the most current and detailed information, please always refer to the official University of Ljubljana page on Erasmus+ financial support: [UL Erasmus+ Financial Support](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus-plus-programme/financial_support/).","3","False","Judge notes: The model provides a correct and comprehensive breakdown of grant amounts and calculations, making it a very useful answer for a student. | F1: 0.1229 | Key info hit: True | Time: 19.53s",""
"Q53","How much financial support can I receive for a full-year exchange?","The maximum Erasmus+ financial support for a two-semester exchange is limited to 10 months, or 300 days.","Of course, I can help with that.

The amount of your Erasmus+ financial grant depends on the country you are going to for your exchange. The countries are divided into three groups based on their cost of living.

Based on the information from the University of Ljubljana for the 2023/2024 academic year, the monthly grant amounts are:

*   **Group 1: €600 per month**
    (Denmark, Finland, Iceland, Ireland, Liechtenstein, Luxembourg, Norway, Sweden, United Kingdom)
*   **Group 2: €540 per month**
    (Austria, Belgium, Cyprus, France, Germany, Greece, Italy, Malta, Netherlands, Portugal, Spain)
*   **Group 3: €490 per month**
    (Bulgaria, Croatia, Czech Republic, Estonia, Hungary, Latvia, Lithuania, North Macedonia, Poland, Romania, Serbia, Slovakia, Turkey)

For a full-year exchange (typically 9-10 months), your total financial support would be:

*   **Group 1:** €5,400 - €6,000
*   **Group 2:** €4,860 - €5,400
*   **Group 3:** €4,410 - €4,900

**Additional Support:**

*   **Students with fewer opportunities:** You may be eligible for an additional top-up of €250 per month.
*   **Green travel:** If you use sustainable transport (like a train or bus) for your main journey, you can receive a one-time top-up of €50.

Please note that the Erasmus grant is intended to co-finance your stay and may not cover all your expenses. It's always best to check the official University of Ljubljana website for the most current information on financial support.","3","False","Judge notes: The answer is correct and provides comprehensive details on grant amounts, country groups, and top-ups, which is very helpful for a student. | F1: 0.1156 | Key info hit: True | Time: 19.36s",""
"Q54","Can I stay abroad longer than the funded period?","Yes. A student may stay on mobility longer, up to the Erasmus+ maximum period, but without financial support beyond the funding limits.","Yes, it is generally possible to stay abroad longer than your initially funded Erasmus+ period. This is known as a ""zero-grant"" extension.

Here's a summary of how it works:

*   **Zero-Grant Period:** You can extend your stay (for example, from one semester to a full academic year) without receiving additional Erasmus+ funding for the extended period. During this time, you retain your Erasmus+ student status, which means you are exempt from tuition fees at the host institution.
*   **Approval is Required:** You must get approval for the extension from both your host university and the University of Ljubljana (specifically, your coordinator at FRI).
*   **Formal Procedure:** There is a formal application process for prolongation which must be completed before your initial grant period ends. You will also need to update your Learning Agreement with the courses you plan to take during the extended semester.
*   **Total Duration Limit:** The total duration of your mobility (funded period + zero-grant period) cannot exceed 12 months within a single study cycle (e.g., 12 months for Bachelor's, 12 for Master's).

**What to do:**

1.  First, contact the international office at your **host university** to confirm they will allow you to extend your stay.
2.  Contact the **International Office at UL FRI** to inform them of your intention and to get the necessary forms and instructions for the prolongation process.

It is crucial to start this process well in advance of the deadline.","3","False","Judge notes: The model provides a correct and comprehensive answer, including the correct terminology (""zero-grant""), key benefits (tuition waiver), and necessary procedural steps. | F1: 0.1059 | Key info hit: True | Time: 15.71s",""
"Q55","What counts as the first day of Erasmus+ mobility?","The first day is the first day the student must be present at the host institution, such as the first lecture, welcome event, or language/intercultural course included in the Learning Agreement. It is not necessarily the day of arrival.","Based on the general Erasmus+ programme rules and information from the University of Ljubljana, the first day of your Erasmus+ mobility is **the first day you need to be present at the university for an academic-related purpose.**

This is typically one of the following:

*   The official **Orientation Day** or **Welcome Day** organised by the university or faculty before the semester begins.
*   The first day of a Slovene language course, if you are attending one organised by the university.
*   The first day of lectures for the semester.

Your travel date or the date you arrive in your accommodation does **not** count as the start of your mobility period. The start date is crucial as it will be the date officially stated on your **Certificate of Attendance / Confirmation of Arrival**, which is required for your grant.

You should always check the official academic calendar and the information sent to you after your acceptance for the exact date of the mandatory orientation events.","3","False","Judge notes: The model's answer is correct, provides helpful examples, and explains the administrative importance of the date, making it a complete and useful response. | F1: 0.2017 | Key info hit: True | Time: 15.37s",""
"Q56","What counts as the last day of Erasmus+ mobility?","The last day is the final day the student must be present at the host institution, such as the last lecture or exam. It is not necessarily the day of departure.","Based on the general Erasmus+ program rules followed by the University of Ljubljana, the last day of your Erasmus+ mobility is defined as **the last day of your academic obligations at the host institution.**

This typically means:
*   The date of your last exam.
*   The final day of the official examination period.
*   The submission date for your final paper or project.

**Important:** The last day is **not** your travel date or the end date of your accommodation contract, unless it happens to be the same day as your last academic activity.

This date will be officially recorded on your **Confirmation of Stay / Certificate of Attendance**, which you must have signed by your host university before you depart. This document is crucial for your scholarship.","3","False","Judge notes: The model answer is correct and more comprehensive than the expected answer, providing useful examples and context. | F1: 0.3011 | Key info hit: True | Time: 15.69s",""
"Q57","What is combined or blended mobility?","Combined or blended mobility means that physical mobility abroad is combined with a virtual mobility component. The virtual part is not funded by Erasmus+ and does not count toward the Erasmus+ status quota.","Of course, I can help with that.

**Combined or blended mobility**, often referred to at the University of Ljubljana as a **Blended Intensive Programme (BIP)**, is a form of Erasmus+ mobility that combines a short-term physical stay at a host institution with a mandatory virtual component.

The key features are:

*   **Physical Component:** A short-term physical mobility abroad, lasting from **5 to 30 days**.
*   **Virtual Component:** Collaborative online learning and teamwork that takes place before, during, or after the physical part.
*   **ECTS Credits:** Students must be awarded at least **3 ECTS** credits upon successful completion.

This format allows you to gain international experience and collaborate with students from other universities without committing to a full semester abroad.

For more detailed information, you can refer to the University of Ljubljana's official page on Blended Intensive Programmes: [UL Erasmus+ Blended Intensive Programmes (BIP)](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/bip/).","2","False","Judge notes: The model correctly describes a specific type of blended mobility (Blended Intensive Programme) but misses the general definition and key details about funding and quotas. | F1: 0.2031 | Key info hit: True | Time: 14.22s",""
"Q58","How long must I stay physically abroad in combined mobility to receive Erasmus+ funding?","For combined mobility, the student must spend at least 2 continuous months physically abroad to be eligible for Erasmus+ financial support and additional grants.","Based on the Erasmus+ program rules for combined (blended) mobility at the University of Ljubljana, to receive Erasmus+ funding, the physical part of your mobility must last **between 5 and 30 days**.

This physical stay is combined with a mandatory virtual component. The grant is provided to co-finance your travel and living expenses during the physical portion of the exchange.

For the most current and detailed information, it is always best to consult the official University of Ljubljana's International Relations Office website or contact the Erasmus coordinator at the FRI faculty.","0","True","Judge notes: The model hallucinates a completely incorrect duration (5-30 days instead of 2 months) and invents a specific university context not present in the query. | F1: 0.1839 | Key info hit: True | Time: 14.4s",""
"Q59","Who is responsible for arranging accommodation?","The student is responsible for arranging accommodation. The University of Ljubljana is not responsible for housing issues.","As an Erasmus student, **you are responsible for arranging your own accommodation.**

However, the University of Ljubljana provides assistance and options:

1.  **Student Dormitories:** You can apply for a place in a student dormitory through the university's online application system when you apply for the exchange. Be aware that places are limited and not guaranteed due to high demand.

2.  **Private Accommodation:** If you do not get a place in a dormitory or prefer another option, you will need to find accommodation on the private market (e.g., private dorms, shared flats).

It is highly recommended to start looking for accommodation as soon as you receive your acceptance letter from the University of Ljubljana. You can find more detailed information and resources on the University's main website under the section for exchange students.","3","False","Judge notes: The model correctly answers the core question and provides useful, accurate context about accommodation options without hallucinating. | F1: 0.1887 | Key info hit: True | Time: 14.96s",""
